;date;planning_method
0;2025/02/18 23:00:00;2
1;2025/02/26 04:10:00;2
2;2025/03/03 00:30:00;2
3;2025/03/16 18:10:00;2
4;2025/07/05 04:00:00;2
5;2025/07/23 22:20:00;2
6;2025/07/24 00:30:00;2
7;2025/07/24 04:20:00;2
8;2025/08/03 00:30:00;2
9;2025/09/15 00:30:00;2
10;2025/09/15 00:40:00;2
11;2025/10/08 00:30:00;2
12;2025/10/08 02:20:00;2
13;2025/10/08 08:20:00;2
14;2025/10/13 00:20:00;2
15;2025/11/02 01:00:00;2
16;2025/11/04 11:20:00;2
17;2025/11/05 15:20:00;2
18;2025/11/06 11:40:00;2
19;2025/11/09 08:10:00;2
20;2025/11/09 15:20:00;2
21;2025/11/10 00:30:00;2
22;2025/11/10 00:40:00;2
23;2025/11/10 12:00:00;2
24;2025/11/11 04:10:00;2
25;2025/11/24 12:50:00;2
26;2025/12/02 03:00:00;2
27;2025/12/03 00:40:00;2
28;2025/12/03 00:50:00;2
29;2025/12/10 02:50:00;2
30;2025/12/11 08:50:00;2
31;2025/12/16 00:30:00;2
32;2026/02/26 00:20:00;2
33;2026/03/04 00:40:00;2
34;2026/03/06 00:30:00;2
35;2026/03/09 01:20:00;2
36;2026/03/22 00:40:00;2
37;2026/04/23 00:30:00;2
38;2026/04/30 04:40:00;2
39;2026/07/02 04:00:00;2
40;2026/07/03 03:20:00;2
41;2026/07/06 00:30:00;2
42;2026/09/23 00:30:00;2
43;2026/09/23 07:40:00;2
44;2026/10/29 02:40:00;2
45;2026/11/02 20:30:00;2
46;2026/11/03 08:40:00;2
47;2026/11/04 00:30:00;2
48;2026/11/04 17:30:00;2
49;2026/11/06 00:30:00;2
50;2026/11/06 00:50:00;2
51;2026/11/09 00:50:00;2
52;2026/11/09 03:40:00;2
53;2026/11/09 09:00:00;2
54;2026/11/09 13:50:00;2
55;2026/11/10 00:30:00;2
56;2026/11/11 15:10:00;2
57;2026/11/12 00:20:00;2
58;2026/11/12 03:00:00;2
59;2026/11/12 18:40:00;2
60;2026/11/16 01:10:00;2
61;2026/11/18 01:40:00;2
62;2026/11/20 01:00:00;2
63;2026/11/23 00:30:00;2
64;2026/11/23 15:30:00;2
65;2026/11/24 00:30:00;2
66;2026/11/24 00:50:00;2
67;2026/11/24 01:00:00;2
68;2026/11/24 01:10:00;2
69;2026/11/24 11:40:00;2
70;2026/11/26 00:30:00;2
71;2026/11/27 00:50:00;2
72;2026/11/28 01:20:00;2
73;2026/12/01 00:50:00;2
74;2026/12/01 01:10:00;2
75;2026/12/01 02:00:00;2
76;2026/12/03 00:20:00;2
77;2026/12/04 00:30:00;2
78;2026/12/11 00:30:00;2
79;2026/12/11 01:00:00;2
80;2026/12/11 01:10:00;2
81;2026/12/14 00:40:00;2
82;2026/12/14 00:50:00;2
83;2026/12/17 00:30:00;2
84;2026/12/17 00:50:00;2
85;2026/12/17 04:30:00;2
86;2026/12/17 05:50:00;2
87;2026/12/18 00:50:00;2
88;2026/12/21 01:40:00;2
